issn	title	articles	links	coverage
1608-4195	Contributions from the Zoological Institute, St. Petersburg	1	1	100
1608-5914	African journal of aquatic science	1	1	100
1612-4758	Journal of pest science	1	1	100
1613-2327	Frankfurter Beiträge zur Naturkunde = Frankfurt contributions to natural history	1	1	100
1674-5507	880-01 Current zoology Dong wu xue bao	1	1	100
1741-7007	BMC biology	1	1	100
1742-9994	Frontiers in zoology	1	1	100
1755-2672		1	1	100
1756-0500	BMC research notes	1	1	100
1791-6763	Mediterranean marine science Hellenic Centre for Marine Research	1	1	100
1802-6842	Journal of the National Museum (Prague). Natural history series	1	1	100
1874-4214	The open parasitology journal	1	1	100
1874-7787	Marine genomics	1	1	100
1874-9828	Terrestrial arthropod reviews	1	1	100
1933-0545		1	1	100
1935-3952	Palaeontologia electronica	1	1	100
1959-1982		1	1	100
1981-8114	Boletim do Museu Paraense Emílio Goeldi. Ciências naturais	1	1	100
2072-7151	Austrian journal of earth sciences an international journal of the Austrian Geological Society	1	1	100
2075-5457		1	1	100
2090-5238		1	1	100
2161-7570	Open journal of geology	1	1	100
2161-9549		1	1	100
2180-4249	Tropical Life Sciences Research	1	1	100
2193-7192	Journal of ornithology / DO-G	1	1	100
2233-7687	Korean journal of systematic zoology	1	1	100
2304-7534		1	1	100
0014-6668		1	0	0
0015-5454	A folha medica	1	0	0
0016-755X	Geologica Bavarica	1	0	0
0041-8285	Revista de la Facultad de Agronomía	1	0	0
0067-6179		1	0	0
0068-7650	Paper - Geological Survey of Canada	1	0	0
0147-9369	Georgia journal of science : official publication of the Georgia Academy of Science	1	0	0
0196-5581	Biological oceanography	1	0	0
0243-0258		1	0	0
0303-7762	Anais do Instituto de Higiene e Medicina Tropical	1	0	0
0326-4017		1	0	0
0335-8178		1	0	0
0370-7415		1	0	0
0374-9444	Monitore zoologico italiano. Supplemento	1	0	0
0379-6051	Journal - SWA Scientific Society	1	0	0
0437-2514	Hemera zoa	1	0	0
0440-8756	880-04 Hiroshima Daigaku Sui-chikusan Gakubu kiyō. Journal of the Faculty of Fisheries and Animal Husbandry, Hiroshima University	1	0	0
0524-4331	Veröffentlichungen des Instituts für Meeresforschung in Bremerhaven. Supplement	1	0	0
0577-3180	Publicaciones del Centro Pirenaico de Biología Experimental	1	0	0
0770-7622		1	0	0
0885-5943	Occasional papers of the Florida state collection of arthropods	1	0	0
1011-7881	Syntarsus	1	0	0
1072-608X		1	0	0
1148-8565	Bulletin de la Société d'Etude des Sciences Naturelles de Vaucluse	1	0	0
1421-3311	Abhandlungen der Schweizerischen paläontologischen Gesellschaft = Mémoires de la Société Paléontologique Suisse	1	0	0
